source_file,vendor_name,vendor_address,invoice_number,invoice_date,due_date,total_amount,currency,description,quantity,unit_price,total_price
invoice_04_multi_page.pdf,PACIFIC LOGISTICS & FREIGHT,"2200 Harbor Way
Long Beach, CA 90802",PLF-2026-Q3-8847,2026-08-15,2026-09-14,20290.0,USD,AMS Filing,3,35.0,105.0
invoice_04_multi_page.pdf,PACIFIC LOGISTICS & FREIGHT,"2200 Harbor Way
Long Beach, CA 90802",PLF-2026-Q3-8847,2026-08-15,2026-09-14,20290.0,USD,Chassis Fee,3,125.0,375.0
invoice_04_multi_page.pdf,PACIFIC LOGISTICS & FREIGHT,"2200 Harbor Way
Long Beach, CA 90802",PLF-2026-Q3-8847,2026-08-15,2026-09-14,20290.0,USD,Fuel Surcharge,1,890.0,890.0
invoice_04_multi_page.pdf,PACIFIC LOGISTICS & FREIGHT,"2200 Harbor Way
Long Beach, CA 90802",PLF-2026-Q3-8847,2026-08-15,2026-09-14,20290.0,USD,Peak Season Surcharge,1,1100.0,1100.0
invoice_04_multi_page.pdf,PACIFIC LOGISTICS & FREIGHT,"2200 Harbor Way
Long Beach, CA 90802",PLF-2026-Q3-8847,2026-08-15,2026-09-14,20290.0,USD,Detention - MSCU7723411,2,185.0,370.0
invoice_04_multi_page.pdf,PACIFIC LOGISTICS & FREIGHT,"2200 Harbor Way
Long Beach, CA 90802",PLF-2026-Q3-8847,2026-08-15,2026-09-14,20290.0,USD,Demurrage - FCLU9987123,1,210.0,210.0
invoice_05_messy_freelance.pdf,J.D. Creative Services,,JD-086,2026-08-21,,11302.62,USD,Logo Concepts (3 rounds),1,1200.0,1200.0
invoice_05_messy_freelance.pdf,J.D. Creative Services,,JD-086,2026-08-21,,11302.62,USD,Brand Guidelines (32pp PDF),1,2400.0,2400.0
invoice_05_messy_freelance.pdf,J.D. Creative Services,,JD-086,2026-08-21,,11302.62,USD,Website Design - Homepage,1,1800.0,1800.0
invoice_05_messy_freelance.pdf,J.D. Creative Services,,JD-086,2026-08-21,,11302.62,USD,Website Design - 5 interior pages,5,700.0,3500.0
invoice_05_messy_freelance.pdf,J.D. Creative Services,,JD-086,2026-08-21,,11302.62,USD,Mobile responsive adaptations,1,950.0,950.0
invoice_05_messy_freelance.pdf,J.D. Creative Services,,JD-086,2026-08-21,,11302.62,USD,Client revisions (12 hrs @ $150/hr),12,150.0,1800.0
invoice_05_messy_freelance.pdf,J.D. Creative Services,,JD-086,2026-08-21,,11302.62,USD,Stock photo licensing,1,247.5,247.5
